   r(mas)        I/I0_B        I/I0_V        I/I0_R        I/I0_I        I/I0_H        I/I0_K
3.7224276e-01 9.1018410e-01 9.3115740e-01 9.4328370e-01 9.5504020e-01 9.7759800e-01 9.8102760e-01
3.7430289e-01 9.0916300e-01 9.3042910e-01 9.4268360e-01 9.5452900e-01 9.7733210e-01 9.8082340e-01
3.7634951e-01 9.0812440e-01 9.2958450e-01 9.4202070e-01 9.5399070e-01 9.7709600e-01 9.8069680e-01
3.7838283e-01 9.0707270e-01 9.2865900e-01 9.4128170e-01 9.5351100e-01 9.7682920e-01 9.8028350e-01
3.8040307e-01 9.0605440e-01 9.2787650e-01 9.4065800e-01 9.5299740e-01 9.7649400e-01 9.8022920e-01
3.8241043e-01 9.0501500e-01 9.2705150e-01 9.3995720e-01 9.5244630e-01 9.7631700e-01 9.7984340e-01
3.8440513e-01 9.0402560e-01 9.2632020e-01 9.3935780e-01 9.5193540e-01 9.7602920e-01 9.7971000e-01
3.8638734e-01 9.0299020e-01 9.2556680e-01 9.3868790e-01 9.5141040e-01 9.7568510e-01 9.7947040e-01
3.8835728e-01 9.0196290e-01 9.2479610e-01 9.3806490e-01 9.5086530e-01 9.7547900e-01 9.7911580e-01
3.9031511e-01 9.0091210e-01 9.2399870e-01 9.3736120e-01 9.5032380e-01 9.7518790e-01 9.7911580e-01
3.9226103e-01 8.9989340e-01 9.2313350e-01 9.3669920e-01 9.4984140e-01 9.7491960e-01 9.7887770e-01
3.9419520e-01 8.9886940e-01 9.2240250e-01 9.3607910e-01 9.4929050e-01 9.7471570e-01 9.7856690e-01
3.9611781e-01 8.9785140e-01 9.2162530e-01 9.3538660e-01 9.4875090e-01 9.7442220e-01 9.7830420e-01
3.9802901e-01 8.9685690e-01 9.2079550e-01 9.3474470e-01 9.4823680e-01 9.7412940e-01 9.7820280e-01
3.9992898e-01 8.9581660e-01 9.2001720e-01 9.3411020e-01 9.4775710e-01 9.7379120e-01 9.7783650e-01
4.0181787e-01 8.9479950e-01 9.1918110e-01 9.3341300e-01 9.4719660e-01 9.7364820e-01 9.7771000e-01
4.0369583e-01 8.9378970e-01 9.1839540e-01 9.3277260e-01 9.4666740e-01 9.7337100e-01 9.7753380e-01
4.0556302e-01 8.9277970e-01 9.1763570e-01 9.3211360e-01 9.4618730e-01 9.7306260e-01 9.7724230e-01
4.0741959e-01 8.9176570e-01 9.1687010e-01 9.3148220e-01 9.4570760e-01 9.7287020e-01 9.7709930e-01
4.0926568e-01 8.9075660e-01 9.1612400e-01 9.3082860e-01 9.4513520e-01 9.7260530e-01 9.7681990e-01
4.1110144e-01 8.8970730e-01 9.1525660e-01 9.3020770e-01 9.4461940e-01 9.7225150e-01 9.7655050e-01
4.1292699e-01 8.8868590e-01 9.1437330e-01 9.2953700e-01 9.4410540e-01 9.7201210e-01 9.7630470e-01
4.1474248e-01 8.8768400e-01 9.1362690e-01 9.2887750e-01 9.4357870e-01 9.7180110e-01 9.7620920e-01
4.1654803e-01 8.8665820e-01 9.1278040e-01 9.2817600e-01 9.4302640e-01 9.7141940e-01 9.7597850e-01
4.1834378e-01 8.8565160e-01 9.1204490e-01 9.2752790e-01 9.4251690e-01 9.7126290e-01 9.7569410e-01
4.2012985e-01 8.8468040e-01 9.1132050e-01 9.2694590e-01 9.4206130e-01 9.7099090e-01 9.7548100e-01
4.2190637e-01 8.8365700e-01 9.1052380e-01 9.2626450e-01 9.4153600e-01 9.7069950e-01 9.7522030e-01
4.2367345e-01 8.8264570e-01 9.0979830e-01 9.2567090e-01 9.4102770e-01 9.7045870e-01 9.7502080e-01
4.2543121e-01 8.8163550e-01 9.0901970e-01 9.2495820e-01 9.4048550e-01 9.7011660e-01 9.7480340e-01
4.2717976e-01 8.8061070e-01 9.0817080e-01 9.2433360e-01 9.3991770e-01 9.6990230e-01 9.7462600e-01
4.2891923e-01 8.7959190e-01 9.0731370e-01 9.2362020e-01 9.3938940e-01 9.6963180e-01 9.7427610e-01
4.3064971e-01 8.7861050e-01 9.0658240e-01 9.2301710e-01 9.3887580e-01 9.6933920e-01 9.7412850e-01
4.3237133e-01 8.7760510e-01 9.0580900e-01 9.2235810e-01 9.3839610e-01 9.6905490e-01 9.7397900e-01
4.3408417e-01 8.7660000e-01 9.0497830e-01 9.2173330e-01 9.3791590e-01 9.6876550e-01 9.7363570e-01
4.3578835e-01 8.7559360e-01 9.0418190e-01 9.2104090e-01 9.3740230e-01 9.6854580e-01 9.7348150e-01
4.3748397e-01 8.7457290e-01 9.0344330e-01 9.2043100e-01 9.3685920e-01 9.6828800e-01 9.7314120e-01
4.3917113e-01 8.7358690e-01 9.0272040e-01 9.1979290e-01 9.3634280e-01 9.6798580e-01 9.7308840e-01
4.4084992e-01 8.7259680e-01 9.0193310e-01 9.1913130e-01 9.3578520e-01 9.6775200e-01 9.7287090e-01
4.4252044e-01 8.7158690e-01 9.0120560e-01 9.1849600e-01 9.3529000e-01 9.6752140e-01 9.7254690e-01
4.4418278e-01 8.7060220e-01 9.0048380e-01 9.1784520e-01 9.3477640e-01 9.6719560e-01 9.7239710e-01
4.4583703e-01 8.6958320e-01 8.9955340e-01 9.1716180e-01 9.3426490e-01 9.6691990e-01 9.7212850e-01
4.4748329e-01 8.6863080e-01 8.9881370e-01 9.1655310e-01 9.3374980e-01 9.6664340e-01 9.7188350e-01
4.4912164e-01 8.6762940e-01 8.9806520e-01 9.1589420e-01 9.3319410e-01 9.6637510e-01 9.7173590e-01
4.5075217e-01 8.6661800e-01 8.9733830e-01 9.1527750e-01 9.3271440e-01 9.6617890e-01 9.7148580e-01
4.5237495e-01 8.6560910e-01 8.9652040e-01 9.1454060e-01 9.3219810e-01 9.6585320e-01 9.7120860e-01
4.5399009e-01 8.6464890e-01 8.9570980e-01 9.1388770e-01 9.3165540e-01 9.6552320e-01 9.7099130e-01
4.5559765e-01 8.6362610e-01 8.9490760e-01 9.1329240e-01 9.3108000e-01 9.6541430e-01 9.7081250e-01
4.5719772e-01 8.6262320e-01 8.9408880e-01 9.1268470e-01 9.3056640e-01 9.6507830e-01 9.7047820e-01
4.5879037e-01 8.6161680e-01 8.9334530e-01 9.1205630e-01 9.3008670e-01 9.6478310e-01 9.7039700e-01
4.6037568e-01 8.6069600e-01 8.9260050e-01 9.1136720e-01 9.2960700e-01 9.6444490e-01 9.7004780e-01
4.6195373e-01 8.5966180e-01 8.9177880e-01 9.1069860e-01 9.2906200e-01 9.6428010e-01 9.6982350e-01
4.6352460e-01 8.5866150e-01 8.9096130e-01 9.0999030e-01 9.2855080e-01 9.6401980e-01 9.6971950e-01
4.6508834e-01 8.5765190e-01 8.9017980e-01 9.0937860e-01 9.2800090e-01 9.6368160e-01 9.6940080e-01
4.6664505e-01 8.5669490e-01 8.8945540e-01 9.0881340e-01 9.2752130e-01 9.6338900e-01 9.6921290e-01
4.6819478e-01 8.5569910e-01 8.8872080e-01 9.0817970e-01 9.2700100e-01 9.6317850e-01 9.6899330e-01
4.6973760e-01 8.5467760e-01 8.8794690e-01 9.0745670e-01 9.2648030e-01 9.6291370e-01 9.6867300e-01
4.7127359e-01 8.5375350e-01 8.8722240e-01 9.0685840e-01 9.2596670e-01 9.6267510e-01 9.6849890e-01
4.7280280e-01 8.5274540e-01 8.8646680e-01 9.0625170e-01 9.2548700e-01 9.6234230e-01 9.6830200e-01
4.7432532e-01 8.5173020e-01 8.8566150e-01 9.0549950e-01 9.2487770e-01 9.6207550e-01 9.6795900e-01
4.7584119e-01 8.5076300e-01 8.8480250e-01 9.0489380e-01 9.2439760e-01 9.6183610e-01 9.6790470e-01
4.7735048e-01 8.4978400e-01 8.8400030e-01 9.0426280e-01 9.2394480e-01 9.6157120e-01 9.6759450e-01
4.7885326e-01 8.4875730e-01 8.8324480e-01 9.0358650e-01 9.2343010e-01 9.6123520e-01 9.6736480e-01
4.8034959e-01 8.4778850e-01 8.8246470e-01 9.0290690e-01 9.2291600e-01 9.6098090e-01 9.6713430e-01
4.8183952e-01 8.4683000e-01 8.8174630e-01 9.0232790e-01 9.2242090e-01 9.6076700e-01 9.6693340e-01
4.8332312e-01 8.4584520e-01 8.8106350e-01 9.0173790e-01 9.2179770e-01 9.6038630e-01 9.6675420e-01
4.8480044e-01 8.4482920e-01 8.8020570e-01 9.0109570e-01 9.2125530e-01 9.6017670e-01 9.6639350e-01
4.8627154e-01 8.4385480e-01 8.7937200e-01 9.0042640e-01 9.2071020e-01 9.5993130e-01 9.6632270e-01
4.8773648e-01 8.4287030e-01 8.7854540e-01 8.9965910e-01 9.2023000e-01 9.5964750e-01 9.6595960e-01
4.8919531e-01 8.4189880e-01 8.7779170e-01 8.9902540e-01 9.1975030e-01 9.5937250e-01 9.6578290e-01
4.9064808e-01 8.4091740e-01 8.7705810e-01 8.9840600e-01 9.1926550e-01 9.5908940e-01 9.6567570e-01
4.9209486e-01 8.3994000e-01 8.7627210e-01 8.9782400e-01 9.1871850e-01 9.5886960e-01 9.6525470e-01
4.9353569e-01 8.3897840e-01 8.7549420e-01 8.9717330e-01 9.1822340e-01 9.5848880e-01 9.6513580e-01
4.9497063e-01 8.3800200e-01 8.7474760e-01 8.9650600e-01 9.1770980e-01 9.5832290e-01 9.6491750e-01
4.9639972e-01 8.3701440e-01 8.7402300e-01 8.9591080e-01 9.1719860e-01 9.5802170e-01 9.6460770e-01
4.9782302e-01 8.3602900e-01 8.7309930e-01 8.9513420e-01 9.1664540e-01 9.5772550e-01 9.6445830e-01
4.9924058e-01 8.3502190e-01 8.7238190e-01 8.9454640e-01 9.1613200e-01 9.5742120e-01 9.6418130e-01
5.0065244e-01 8.3405350e-01 8.7164670e-01 8.9391090e-01 9.1565240e-01 9.5722830e-01 9.6399700e-01
5.0205865e-01 8.3308090e-01 8.7092330e-01 8.9332700e-01 9.1513570e-01 9.5688050e-01 9.6378340e-01
5.0345926e-01 8.3210590e-01 8.7011100e-01 8.9258690e-01 9.1462160e-01 9.5654310e-01 9.6343870e-01
5.0485432e-01 8.3113530e-01 8.6939570e-01 8.9202140e-01 9.1412430e-01 9.5637380e-01 9.6333590e-01
5.0624388e-01 8.3014460e-01 8.6863810e-01 8.9132130e-01 9.1353450e-01 9.5611600e-01 9.6305940e-01
5.0762797e-01 8.2919840e-01 8.6784480e-01 8.9070400e-01 9.1302330e-01 9.5577990e-01 9.6279600e-01
5.0900664e-01 8.2821970e-01 8.6704230e-01 8.9006100e-01 9.1242020e-01 9.5548380e-01 9.6259180e-01
5.1037994e-01 8.2725290e-01 8.6630870e-01 8.8944530e-01 9.1191490e-01 9.5523830e-01 9.6239830e-01
5.1174791e-01 8.2626060e-01 8.6550590e-01 8.8872900e-01 9.1143480e-01 9.5494090e-01 9.6213250e-01
5.1311059e-01 8.2526880e-01 8.6478630e-01 8.8809790e-01 9.1095510e-01 9.5470980e-01 9.6191640e-01
5.1446803e-01 8.2429120e-01 8.6402290e-01 8.8742630e-01 9.1047030e-01 9.5442590e-01 9.6165580e-01
5.1582026e-01 8.2333350e-01 8.6329390e-01 8.8679250e-01 9.0992300e-01 9.5412810e-01 9.6137650e-01
5.1716733e-01 8.2236190e-01 8.6248560e-01 8.8619720e-01 9.0936240e-01 9.5384380e-01 9.6118600e-01
5.1850928e-01 8.2136300e-01 8.6166910e-01 8.8558680e-01 9.0883690e-01 9.5356080e-01 9.6106150e-01
5.1984614e-01 8.2042090e-01 8.6084960e-01 8.8485700e-01 9.0832330e-01 9.5328780e-01 9.6069890e-01
5.2117796e-01 8.1944580e-01 8.5998160e-01 8.8420720e-01 9.0784360e-01 9.5298570e-01 9.6059180e-01
5.2250477e-01 8.1846840e-01 8.5924680e-01 8.8352910e-01 9.0733790e-01 9.5276550e-01 9.6022210e-01
5.2382662e-01 8.1748310e-01 8.5853050e-01 8.8296000e-01 9.0682560e-01 9.5243810e-01 9.6007260e-01
5.2514353e-01 8.1654820e-01 8.5779870e-01 8.8228130e-01 9.0627550e-01 9.5211830e-01 9.5990200e-01
5.2645555e-01 8.1554740e-01 8.5695580e-01 8.8163470e-01 9.0576430e-01 9.5189110e-01 9.5951430e-01
5.2776272e-01 8.1457100e-01 8.5623980e-01 8.8102480e-01 9.0523530e-01 9.5164700e-01 9.5946190e-01
5.2906506e-01 8.1360800e-01 8.5540370e-01 8.8034950e-01 9.0467000e-01 9.5137960e-01 9.5902620e-01
5.3036262e-01 8.1260970e-01 8.5461760e-01 8.7964800e-01 9.0413870e-01 9.5104140e-01 9.5886770e-01
5.3165543e-01 8.1165740e-01 8.5389370e-01 8.7904740e-01 9.0363050e-01 9.5066060e-01 9.5866890e-01
